Data Mapping for Bronze Layer:

| Target Layer | Target Table    | Target Field  | Source Layer | Source Table | Source Field  | Transformation Rule |
| ------------ | --------------- | ------------- | ------------ | ------------ | ------------- | ------------------- |
| Bronze       | bronze_Products | Product_ID    | Raw          | raw_Products | Product_ID    | 1-1 Mapping         |
| Bronze       | bronze_Products | Product_Name  | Raw          | raw_Products | Product_Name  | 1-1 Mapping         |
| Bronze       | bronze_Products | Category      | Raw          | raw_Products | Category      | 1-1 Mapping         |
| Bronze       | bronze_Products | Load_Date     | System       | generated    | Load_Date     | Current Timestamp   |
| Bronze       | bronze_Products | Update_Date   | System       | generated    | Update_Date   | Current Timestamp   |
| Bronze       | bronze_Products | Source_System | System       | generated    | Source_System | 'raw_Products'      |

| Bronze       | bronze_Suppliers  | Supplier_ID      | Raw          | raw_Suppliers  | Supplier_ID      | 1-1 Mapping       |
| Bronze       | bronze_Suppliers  | Supplier_Name    | Raw          | raw_Suppliers  | Supplier_Name    | 1-1 Mapping       |
| Bronze       | bronze_Suppliers  | Contact_Number   | Raw          | raw_Suppliers  | Contact_Number   | 1-1 Mapping       |
| Bronze       | bronze_Suppliers  | Product_ID       | Raw          | raw_Suppliers  | Product_ID       | 1-1 Mapping       |
| Bronze       | bronze_Suppliers  | Load_Date        | System       | generated      | Load_Date        | Current Timestamp |
| Bronze       | bronze_Suppliers  | Update_Date      | System       | generated      | Update_Date      | Current Timestamp |
| Bronze       | bronze_Suppliers  | Source_System    | System       | generated      | Source_System    | 'raw_Suppliers'   |

| Bronze       | bronze_Warehouses | Warehouse_ID     | Raw          | raw_Warehouses | Warehouse_ID     | 1-1 Mapping       |
| Bronze       | bronze_Warehouses | Location         | Raw          | raw_Warehouses | Location         | 1-1 Mapping       |
| Bronze       | bronze_Warehouses | Capacity         | Raw          | raw_Warehouses | Capacity         | 1-1 Mapping       |
| Bronze       | bronze_Warehouses | Load_Date        | System       | generated      | Load_Date        | Current Timestamp |
| Bronze       | bronze_Warehouses | Update_Date      | System       | generated      | Update_Date      | Current Timestamp |
| Bronze       | bronze_Warehouses | Source_System    | System       | generated      | Source_System    | 'raw_Warehouses'  |

| Bronze       | bronze_Inventory  | Inventory_ID     | Raw          | raw_Inventory  | Inventory_ID     | 1-1 Mapping       |
| Bronze       | bronze_Inventory  | Product_ID       | Raw          | raw_Inventory  | Product_ID       | 1-1 Mapping       |
| Bronze       | bronze_Inventory  | Quantity_Available| Raw         | raw_Inventory  | Quantity_Available| 1-1 Mapping       |
| Bronze       | bronze_Inventory  | Warehouse_ID     | Raw          | raw_Inventory  | Warehouse_ID     | 1-1 Mapping       |
| Bronze       | bronze_Inventory  | Load_Date        | System       | generated      | Load_Date        | Current Timestamp |
| Bronze       | bronze_Inventory  | Update_Date      | System       | generated      | Update_Date      | Current Timestamp |
| Bronze       | bronze_Inventory  | Source_System    | System       | generated      | Source_System    | 'raw_Inventory'   |

| Bronze       | bronze_Orders     | Order_ID         | Raw          | raw_Orders     | Order_ID         | 1-1 Mapping       |
| Bronze       | bronze_Orders     | Customer_ID      | Raw          | raw_Orders     | Customer_ID      | 1-1 Mapping       |
| Bronze       | bronze_Orders     | Order_Date       | Raw          | raw_Orders     | Order_Date       | 1-1 Mapping       |
| Bronze       | bronze_Orders     | Load_Date        | System       | generated      | Load_Date        | Current Timestamp |
| Bronze       | bronze_Orders     | Update_Date      | System       | generated      | Update_Date      | Current Timestamp |
| Bronze       | bronze_Orders     | Source_System    | System       | generated      | Source_System    | 'raw_Orders'      |

| Bronze       | bronze_Order_Details| Order_Detail_ID | Raw          | raw_Order_Details | Order_Detail_ID | 1-1 Mapping       |
| Bronze       | bronze_Order_Details| Order_ID        | Raw          | raw_Order_Details | Order_ID        | 1-1 Mapping       |
| Bronze       | bronze_Order_Details| Product_ID      | Raw          | raw_Order_Details | Product_ID      | 1-1 Mapping       |
| Bronze       | bronze_Order_Details| Quantity_Ordered| Raw          | raw_Order_Details | Quantity_Ordered| 1-1 Mapping       |
| Bronze       | bronze_Order_Details| Load_Date       | System       | generated      | Load_Date        | Current Timestamp |
| Bronze       | bronze_Order_Details| Update_Date     | System       | generated      | Update_Date      | Current Timestamp |
| Bronze       | bronze_Order_Details| Source_System   | System       | generated      | Source_System    | 'raw_Order_Details'|

| Bronze       | bronze_Shipments  | Shipment_ID      | Raw          | raw_Shipments   | Shipment_ID      | 1-1 Mapping       |
| Bronze       | bronze_Shipments  | Order_ID         | Raw          | raw_Shipments   | Order_ID         | 1-1 Mapping       |
| Bronze       | bronze_Shipments  | Shipment_Date    | Raw          | raw_Shipments   | Shipment_Date    | 1-1 Mapping       |
| Bronze       | bronze_Shipments  | Load_Date        | System       | generated      | Load_Date        | Current Timestamp |
| Bronze       | bronze_Shipments  | Update_Date      | System       | generated      | Update_Date      | Current Timestamp |
| Bronze       | bronze_Shipments  | Source_System    | System       | generated      | Source_System    | 'raw_Shipments'   |

| Bronze       | bronze_Returns    | Return_ID        | Raw          | raw_Returns     | Return_ID        | 1-1 Mapping       |
| Bronze       | bronze_Returns    | Order_ID         | Raw          | raw_Returns     | Order_ID         | 1-1 Mapping       |
| Bronze       | bronze_Returns    | Return_Reason    | Raw          | raw_Returns     | Return_Reason    | 1-1 Mapping       |
| Bronze       | bronze_Returns    | Load_Date        | System       | generated      | Load_Date        | Current Timestamp |
| Bronze       | bronze_Returns    | Update_Date      | System       | generated      | Update_Date      | Current Timestamp |
| Bronze       | bronze_Returns    | Source_System    | System       | generated      | Source_System    | 'raw_Returns'     |

| Bronze       | bronze_Stock_Levels| Stock_Level_ID  | Raw          | raw_Stock_Levels | Stock_Level_ID  | 1-1 Mapping       |
| Bronze       | bronze_Stock_Levels| Warehouse_ID    | Raw          | raw_Stock_Levels | Warehouse_ID    | 1-1 Mapping       |
| Bronze       | bronze_Stock_Levels| Product_ID      | Raw          | raw_Stock_Levels | Product_ID      | 1-1 Mapping       |
| Bronze       | bronze_Stock_Levels| Reorder_Threshold| Raw         | raw_Stock_Levels | Reorder_Threshold| 1-1 Mapping       |
| Bronze       | bronze_Stock_Levels| Load_Date       | System       | generated      | Load_Date        | Current Timestamp |
| Bronze       | bronze_Stock_Levels| Update_Date     | System       | generated      | Update_Date      | Current Timestamp |
| Bronze       | bronze_Stock_Levels| Source_System   | System       | generated      | Source_System    | 'raw_Stock_Levels'|

| Bronze       | bronze_Customers   | Customer_ID      | Raw          | raw_Customers  | Customer_ID      | 1-1 Mapping       |
| Bronze       | bronze_Customers   | Customer_Name    | Raw          | raw_Customers  | Customer_Name    | 1-1 Mapping       |
| Bronze       | bronze_Customers   | Email            | Raw          | raw_Customers  | Email            | 1-1 Mapping       |
| Bronze       | bronze_Customers   | Load_Date        | System       | generated      | Load_Date        | Current Timestamp |
| Bronze       | bronze_Customers   | Update_Date      | System       | generated      | Update_Date      | Current Timestamp |
| Bronze       | bronze_Customers   | Source_System    | System       | generated      | Source_System    | 'raw_Customers'   |

---
API Cost Reporting:
apiCost: 0.00 USD
```
